season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2022,8,DEN,0.0199,0.45,0.5333,11.7241,60
2022,8,DET,0.1916,0.5439,0.6667,7.2162,57
2022,8,GB,0.0612,0.4762,0.5079,7.8667,63
2022,8,HOU,-0.346,0.24,0.66,7.8667,50
2022,8,IND,-0.1461,0.3962,0.4717,8.3478,53
2022,8,JAX,-0.0979,0.4615,0.5077,5.5806,65
2022,8,LA,-0.0826,0.3818,0.6364,4.1818,55
2022,8,LV,-0.3779,0.3273,0.7818,8.359,55
2022,8,MIA,0.3468,0.5082,0.623,11.2222,61
2022,8,MIN,0.0103,0.5,0.5735,6.4722,68
2022,8,NE,-0.1205,0.375,0.5694,4.5714,72
2022,8,NO,0.1465,0.5238,0.4921,5.5161,63
2022,8,NYG,-0.1018,0.3125,0.5625,7.871,64
2022,8,NYJ,-0.1169,0.3448,0.7414,9.7317,58
2022,8,PHI,0.4024,0.5,0.6346,10.5667,52
2022,8,PIT,-0.0554,0.4143,0.6571,5.85,70
2022,8,SEA,-0.0944,0.3607,0.6066,8.0294,61
2022,8,SF,0.3414,0.5385,0.5577,7.4231,52
2022,8,TB,0.068,0.4516,0.7419,6.6977,62
2022,8,TEN,0.0443,0.4737,0.2281,7.3,57
2022,8,WAS,-0.066,0.4426,0.541,5.8065,61
2022,9,ARI,-0.1529,0.3279,0.6557,6.0857,61
2022,9,ATL,1e-4,0.5333,0.4167,14.913,60
2022,9,BAL,0.158,0.5077,0.3846,10.0909,65
2022,9,BUF,-0.0239,0.4754,0.6393,12.0588,61
2022,9,CAR,-0.0271,0.3958,0.625,6.1667,48
2022,9,CHI,0.181,0.4429,0.4429,8.0714,70
2022,9,CIN,0.3862,0.6429,0.4714,5.8065,70
2022,9,DET,-0.125,0.4561,0.4561,4.0769,57
2022,9,GB,-0.1209,0.4058,0.6522,9.9767,69
2022,9,HOU,-0.116,0.4386,0.4386,7.2727,57
2022,9,IND,-0.6318,0.2333,0.6333,6.5862,60
2022,9,JAX,0.1873,0.5606,0.4545,5.9,66
2022,9,KC,0.0668,0.4239,0.7826,6.8529,92
2022,9,LA,-0.1886,0.2037,0.5741,8.963,54
2022,9,LAC,0.0309,0.4478,0.6418,5.6047,67
2022,9,LV,0.0595,0.3684,0.6667,9.8611,57
2022,9,MIA,0.3025,0.48,0.6,8.7333,50
2022,9,MIN,-0.0925,0.3385,0.6615,9.3659,65
2022,9,NE,-0.3221,0.2951,0.5574,5.4667,61
2022,9,NO,-0.1593,0.4286,0.6939,7.0333,49
2022,9,NYJ,0.0655,0.5667,0.45,6.4,60
2022,9,PHI,0.1955,0.5902,0.5082,7.6667,61
2022,9,SEA,0.0888,0.4706,0.5294,3.0294,68
2022,9,TB,-0.1601,0.3846,0.7436,4.7544,78
2022,9,TEN,-0.0779,0.2766,0.4043,12.75,47
2022,9,WAS,-0.1632,0.3833,0.5167,8.2143,60
2022,10,ARI,0.0479,0.4219,0.6094,5.6216,64
2022,10,ATL,-0.1115,0.4068,0.5763,12.069,59
2022,10,BUF,-0.0573,0.5417,0.625,8.3488,72
2022,10,CAR,0.0821,0.4375,0.2656,5.5625,64
2022,10,CHI,0.0744,0.5,0.3966,9.9,58
2022,10,CLE,-0.0911,0.459,0.623,9.1714,61
2022,10,DAL,0.0075,0.4557,0.6076,7.3261,79
2022,10,DEN,-0.1251,0.3333,0.6667,10.3571,72
2022,10,DET,0.183,0.5,0.4828,6.7308,58
2022,10,GB,0.2321,0.4667,0.3667,11.3,60
2022,10,HOU,0.0095,0.45,0.6833,6.973,60
2022,10,IND,0.1526,0.5085,0.5254,6.1429,59
2022,10,JAX,0.088,0.4426,0.7377,7.2,61
2022,10,KC,0.274,0.541,0.5738,7.3714,61
2022,10,LA,-0.1961,0.4407,0.678,6.5946,59
2022,10,LAC,-0.1511,0.2857,0.7143,5.5676,56
2022,10,LV,-0.0664,0.3846,0.6308,8.2105,65
2022,10,MIA,0.398,0.6094,0.5312,7.3636,64
2022,10,MIN,0.0694,0.4487,0.6923,8.6,78
2022,10,NO,-0.2906,0.2667,0.6667,9.6429,45
2022,10,NYG,0.1442,0.4242,0.303,5.6471,66
2022,10,PHI,-0.1242,0.5106,0.5745,8,47
2022,10,PIT,0.0167,0.4359,0.4615,7.3667,78
2022,10,SEA,0.0103,0.5294,0.7255,7.697,51
2022,10,SF,0.0598,0.5362,0.4203,6.5,69
2022,10,TB,0.166,0.4853,0.4412,8.8,68
2022,10,TEN,-0.0846,0.4,0.6167,6.8611,60
2022,10,WAS,0.0764,0.5325,0.3896,10.3704,77
2022,11,ARI,-0.1653,0.3944,0.662,5.7727,71
2022,11,ATL,-0.0129,0.4792,0.375,5.7778,48
2022,11,BAL,-0.1181,0.4769,0.5538,4.4848,65
2022,11,BUF,0.1152,0.5,0.4677,7.7778,62
2022,11,CAR,-0.4123,0.2963,0.6852,5.1212,54
2022,11,CHI,0.0263,0.4394,0.3788,8.8571,66
2022,11,CIN,0.1558,0.4762,0.6508,7.7692,63
2022,11,CLE,0.0819,0.4925,0.6269,8.6585,67
2022,11,DAL,0.289,0.4857,0.4286,4.5667,70
2022,11,DEN,-0.008,0.4516,0.5484,6.6129,62
2022,11,DET,0.1125,0.45,0.4333,5.9231,60
2022,11,GB,-0.0259,0.35,0.6833,8.9744,60
2022,11,HOU,-0.4012,0.283,0.717,8.1212,53
2022,11,IND,-0.1459,0.3548,0.5806,6.0625,62
2022,11,KC,0.2522,0.5082,0.5738,10,61
2022,11,LA,-0.0014,0.3934,0.5082,10.2963,61
2022,11,LAC,0.0853,0.5385,0.5385,8.1,65
