season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2018,8,HOU,0.3195,0.4259,0.3704,9.25,54
2018,8,IND,0.4441,0.6286,0.4571,7.4194,70
2018,8,JAX,-0.069,0.3968,0.7302,6.2683,63
2018,8,KC,0.1503,0.4444,0.6667,7.2059,54
2018,8,LA,0.1053,0.4211,0.5526,11.2778,76
2018,8,LV,0.2159,0.5217,0.6087,7.0714,46
2018,8,MIA,-0.0906,0.3692,0.6154,10.6316,65
2018,8,MIN,-0.1426,0.4545,0.6667,7.025,66
2018,8,NE,0.0759,0.4857,0.6714,7.7955,70
2018,8,NO,0.0056,0.4717,0.4528,3.8333,53
2018,8,NYG,-0.1797,0.3134,0.791,7.3478,67
2018,8,NYJ,-0.0766,0.2593,0.5556,8.1379,54
2018,8,PHI,0.1886,0.4746,0.5763,8.0667,59
2018,8,PIT,0.1233,0.5224,0.5522,8.0833,67
2018,8,SEA,0.2381,0.459,0.3115,11,61
2018,8,SF,-0.15,0.3968,0.5079,8.5714,63
2018,8,TB,0.1012,0.4405,0.6786,12.82,84
2018,8,WAS,0.013,0.3906,0.5,7.3438,64
2018,9,ATL,0.3837,0.5312,0.625,6.1842,64
2018,9,BAL,-0.0577,0.4286,0.7143,7.6053,56
2018,9,BUF,-0.3593,0.3293,0.6585,4.9796,82
2018,9,CAR,0.2784,0.5455,0.4909,7.32,55
2018,9,CHI,-0.1414,0.4419,0.4884,10.55,43
2018,9,CLE,0.052,0.4247,0.6575,8.6279,73
2018,9,DAL,-0.1176,0.4286,0.6607,7.0312,56
2018,9,DEN,-0.0164,0.4062,0.6875,5.9286,64
2018,9,DET,-0.2269,0.3768,0.6667,4.7222,69
2018,9,GB,0.0298,0.4783,0.6377,9.2326,69
2018,9,HOU,0.0244,0.5082,0.459,6.625,61
2018,9,KC,0.5157,0.5965,0.5789,6.9677,57
2018,9,LA,0.1948,0.4833,0.6833,8.775,60
2018,9,LAC,0.197,0.4118,0.5686,11.0769,51
2018,9,LV,-0.1376,0.3333,0.5926,4.7083,54
2018,9,MIA,-0.3076,0.3019,0.5283,7,53
2018,9,MIN,-0.1086,0.4565,0.5,5.9545,46
2018,9,NE,0.1739,0.4769,0.5846,7.3333,65
2018,9,NO,0.2953,0.4853,0.5294,9.4444,68
2018,9,NYJ,-0.3448,0.3438,0.6719,8.4359,64
2018,9,PIT,0.2223,0.4605,0.6447,6.6875,76
2018,9,SEA,-0.0768,0.4932,0.5616,6.3243,73
2018,9,SF,0.3124,0.451,0.4314,6.6364,51
2018,9,TB,-0.0273,0.3692,0.6769,8.8537,65
2018,9,TEN,0.1147,0.4776,0.4925,7.4483,67
2018,9,WAS,-0.0069,0.4219,0.7656,8.3913,64
2018,10,ARI,-0.1446,0.4265,0.6471,7.4103,68
